treatment,maxneg,maxneggene,smaxneg,smaxneggene,smaxpos,smaxposgene,maxpos,maxposgene
BRD-K41185810:1.111 uM:1,-0.189607544326339,MAB21L3 (ENSG00000173212),-0.181288278030087,RPS20P25 (ENSG00000228375),0.202282457632495,EXOC3-AS1 (ENSG00000221990),0.220513662522586,SSR4P1 (ENSG00000235374)
BRD-K99522169:10 uM:1,-0.211776657196441,AC012354.1 (ENSG00000225156),-0.203082110702137,AL356608.1 (ENSG00000272912),0.173696759127928,UBE2E2 (ENSG00000182247),0.175320695889208,AC024595.1 (ENSG00000279379)
BRD-K77770209:10 uM:1,-0.22469623951713,ALG10B (ENSG00000175548),-0.216242386567263,CLEC4GP1 (ENSG00000268297),0.181645995827578,NANOS3 (ENSG00000187556),0.186171716562258,AL049795.1 (ENSG00000224066)
BRD-A87249367:10 uM:1,-0.226599213721376,SULT6B1 (ENSG00000138068),-0.211249503047095,ABCG8 (ENSG00000143921),0.165350458666072,LINC00160 (ENSG00000230978),0.175809267383415,CPZ (ENSG00000109625)
BRD-K68803659:3.333 uM:1,-0.267623209153756,TBPL1 (ENSG00000028839),-0.256515567338657,ISL2 (ENSG00000159556),0.262771712256686,BCL2L1 (ENSG00000171552),0.299483294065555,MGLL (ENSG00000074416)
BRD-K78571333:3.333 uM:1,-0.183874303432912,MTCYBP41 (ENSG00000254650),-0.180579422121296,AL138900.2 (ENSG00000237189),0.225994425809597,MARK2P11 (ENSG00000253743),0.247469026246092,LILRP1 (ENSG00000186152)
BRD-K77770209:3.333 uM:1,-0.282667383744776,DRD5P2 (ENSG00000175658),-0.281669233216828,LINC02224 (ENSG00000249203),0.209408462419273,AC009229.4 (ENSG00000280276),0.223337013236662,PGBD4P6 (ENSG00000226064)
BRD-K73832709:1.111 uM:1,-0.225683058825848,CCDC39 (ENSG00000284862),-0.222453966404332,PPY2P (ENSG00000265060),0.186230855159854,NLRP8 (ENSG00000179709),0.202307567576801,AL121902.1 (ENSG00000232286)
BRD-A05515174:1.111 uM:1,-0.199811346859049,AC145350.4 (ENSG00000261682),-0.187355001904372,DHDH (ENSG00000104808),0.182402436223546,AF130417.1 (ENSG00000227330),0.182944913275108,PGBD4P6 (ENSG00000226064)
BRD-K53348691:10 uM:1,-0.191705675781471,LINC00113 (ENSG00000225298),-0.188957617518131,SPANXN3 (ENSG00000189252),0.211951424536771,HMGB3P17 (ENSG00000249400),0.216419811222869,CSNKA2IP (ENSG00000283434)
BRD-K86318192:3.333 uM:1,-0.204760816847097,PPP6R2P1 (ENSG00000233442),-0.202447085408062,KSR1P1 (ENSG00000229485),0.28002786596285,AC114546.4 (ENSG00000280396),0.280103519304538,TSGA13 (ENSG00000213265)
BRD-K91902037:1.111 uM:1,-0.208002749870856,PGAM2 (ENSG00000164708),-0.200396230603933,CCSER1 (ENSG00000184305),0.190495444850085,SHMT1P1 (ENSG00000224751),0.205840255188601,BPIFA1 (ENSG00000198183)
BRD-K99522169:1.111 uM:1,-0.189238751070561,LINC00407 (ENSG00000237585),-0.179518527517667,PCK2 (ENSG00000100889),0.195902666525973,CYCSP23 (ENSG00000253495),0.197278477466334,TCEA1P3 (ENSG00000215165)
BRD-A07345074:10 uM:1,-0.214939209572943,AC134026.1 (ENSG00000279305),-0.206966038091367,AL078621.2 (ENSG00000175509),0.210916044212823,AC105271.1 (ENSG00000233894),0.225560070414392,IGHV2-70D (ENSG00000211974)
BRD-K10667008:1.111 uM:1,-0.224200261597664,RPL22P18 (ENSG00000230171),-0.179839224414865,AC022915.1 (ENSG00000253455),0.230760094507105,PPIAP24 (ENSG00000174408),0.231986034733016,HNRNPA1P17 (ENSG00000243188)
BRD-A06147266:10 uM:1,-0.205769221943832,AL132996.1 (ENSG00000260271),-0.19824479732494,CERS3-AS1 (ENSG00000259430),0.272917469906555,BX664730.1 (ENSG00000276898),0.274256735915932,AC013429.2 (ENSG00000234995)
BRD-A99727719:10 uM:1,-0.183564979266301,TARS2P1 (ENSG00000248104),-0.179869213496968,SFXN4 (ENSG00000183605),0.249634153880005,AC093627.6 (ENSG00000242611),0.253039652620376,AC009093.2 (ENSG00000260517)
BRD-K08132717:1.111 uM:1,-0.194787869053169,SYT9 (ENSG00000170743),-0.189258454266517,EML4 (ENSG00000143924),0.204107804759489,GRIFIN (ENSG00000275572),0.206246151012186,AL049833.2 (ENSG00000259026)
BRD-K17804045:3.333 uM:1,-0.201167640568197,LINC00279 (ENSG00000232348),-0.194358511624393,AL133343.1 (ENSG00000228156),0.18549913062734,PLOD2 (ENSG00000152952),0.190864240264149,ARRDC1-AS1 (ENSG00000203993)
BRD-K63372366:10 uM:1,-0.229810857193517,RN7SKP238 (ENSG00000252292),-0.229810857193517,AL355097.1 (ENSG00000258379),0.192018625658527,AL589743.4 (ENSG00000277128),0.192698267394443,AC105271.1 (ENSG00000233894)
BRD-K33973873:10 uM:1,-0.222459830988179,AC013470.4 (ENSG00000274970),-0.217370069362562,AC114689.1 (ENSG00000264104),0.175286509192337,AL121902.1 (ENSG00000232286),0.180999559388459,IL10 (ENSG00000136634)
BRD-K00040214:3.333 uM:1,-0.201384001910287,A2ML1-AS1 (ENSG00000256661),-0.20060519868606,RNU4-6P (ENSG00000222736),0.19237279819998,LINC02210-CRHR1 (ENSG00000263715),0.203159204243901,KRTAP10-11 (ENSG00000243489)
BRD-K33815239:10 uM:1,-0.17745947739647,AC061975.4 (ENSG00000264486),-0.176379091340226,AC117525.1 (ENSG00000249495),0.189902223420604,AC008677.1 (ENSG00000213414),0.194728965725793,CNR2 (ENSG00000188822)
BRD-K10753759:1.111 uM:1,-0.192948575595056,AL009178.2 (ENSG00000269155),-0.178773922824776,AC242842.1 (ENSG00000275557),0.191095324800874,AC084121.9 (ENSG00000285814),0.214641470193401,AC104971.2 (ENSG00000267579)
BRD-K97749424:1.111 uM:1,-0.194844295042534,SLC35E3 (ENSG00000175782),-0.192230605537341,POLRMTP1 (ENSG00000266066),0.198883203561319,AC016831.5 (ENSG00000271522),0.210228598725509,BX664730.1 (ENSG00000276898)
BRD-A77814097:1.111 uM:1,-0.2374905386329,AC068254.2 (ENSG00000279221),-0.236439173828927,LINC01538 (ENSG00000266952),0.179035254892769,ABTB1 (ENSG00000114626),0.185461759639742,SNORA3B (ENSG00000212607)
BRD-A23966356:10 uM:1,-0.210187357143117,AC011518.1 (ENSG00000267133),-0.209063092223397,C10orf53 (ENSG00000178645),0.195783088798333,TEX44 (ENSG00000177673),0.212466913595396,AC105271.1 (ENSG00000233894)
BRD-A05515174:10 uM:1,-0.198603994036679,AGAP2 (ENSG00000135439),-0.195852227143782,PHKG2 (ENSG00000156873),0.180169463388986,AC244394.1 (ENSG00000225603),0.187245863809025,NDRG1 (ENSG00000104419)
BRD-A50088414:3.333 uM:1,-0.247169513056049,AFM (ENSG00000079557),-0.240976703214428,DUX4L33 (ENSG00000282894),0.210669933239939,HRH1 (ENSG00000196639),0.211172105135022,ADAM19 (ENSG00000135074)
BRD-K98887317:10 uM:1,-0.240464703649776,AL356421.1 (ENSG00000216616),-0.240464703649776,HSPE1P12 (ENSG00000235930),0.182200485185996,BIN1 (ENSG00000136717),0.183573291868803,RASSF4 (ENSG00000107551)
BRD-K76748819:10 uM:1,-0.246090173565112,KCNJ4 (ENSG00000168135),-0.214441264445121,SKIDA1 (ENSG00000180592),0.240627262858573,GNG12 (ENSG00000172380),0.246036667718929,AHRR (ENSG00000063438)
BRD-K07630976:3.333 uM:1,-0.179252439220685,SLC6A8 (ENSG00000130821),-0.17891824335787,ARL5AP1 (ENSG00000227864),0.217490468126613,AC108734.2 (ENSG00000241473),0.223320152128421,TRGVA (ENSG00000225992)
